Intra-Unicast,1742010101.222768,Cluster B,Cluster B,172.16.0.17,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.358609,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.358724,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.358454,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.360026,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.361508,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.363149,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.364479,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.365714,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.367313,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.368757,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.370228,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.371607,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.373399,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.375031,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.376517,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.378046,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.379447,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.381063,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.382507,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.384098,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.385548,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.386891,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.388382,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.389695,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.391291,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.392740,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.394038,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.395477,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.397170,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.398472,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.399873,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.401195,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.402570,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.403944,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.405324,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.406657,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.408129,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.409422,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.410715,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.412160,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.413532,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.414824,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.416258,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.417636,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.418926,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.420324,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.421654,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.422973,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.424469,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.425774,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.427070,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.428378,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.429750,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.431139,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.433455,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.435372,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.437730,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.439580,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.441801,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.443670,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.445464,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.447695,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.449613,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.451096,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.452389,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.454005,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.455301,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.456728,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.458518,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.459936,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.461234,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.462619,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.464055,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.465399,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.467020,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.468504,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.469852,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.471349,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.472971,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.474320,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.475817,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.477139,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.478472,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.479878,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.481428,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.484364,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.486796,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.489115,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.491272,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.493600,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.495363,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.497097,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.498710,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.500673,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.502113,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.503849,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.505231,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.506520,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.508101,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.510145,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.511542,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.513319,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.514696,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.516410,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.517872,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.519156,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.521508,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.523180,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.524904,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.526381,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.527795,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.529628,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.530979,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.532395,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.533855,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.535216,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.536449,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.537900,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.539194,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.540472,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.541759,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.543112,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.544403,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.545669,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.546853,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.548263,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.549891,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.551188,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.552373,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.553627,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.554863,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.556177,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.557441,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.558842,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.560091,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.561316,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.562707,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.563912,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.565158,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.566777,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.568048,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.569172,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.570393,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.571629,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.572900,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.574123,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.575732,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.576949,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.578286,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.579738,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.580936,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.582206,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.583481,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.585039,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.586268,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.587752,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.588952,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.590147,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.592712,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.594702,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.596641,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.598361,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.601244,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.602972,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.604970,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.606441,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.607656,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.609049,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.610198,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.611355,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.612811,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.614000,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.615173,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.616419,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.617634,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.618776,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.620017,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.621514,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.622807,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
Inter-Unicast,1742010101.624101,Cluster A,Cluster B,172.16.0.6,172.16.0.11,UDP,16,0x000
